# Description of the experiment:
#
# - We generate the costs to up to 5.000 tasks for 10 and 100 resources.
# - All costs follow random functions (i.e., random costs)
#   with RNG seeds [400..499].
# - We schedule from 1.000 to 5.000 tasks in increments of 100.
# - We run (MC)^2MKP, MarIn, MarCo, MarDec, and FedAvg.
# - All resources have a lower limit of 5.
# - The first half of the resources have no upper limit.
# - The second half has an upper limit of 2*(tasks/resources).
# - Every result is verified and logged to a CSV file.
Scheduler,Tasks,Resources,Total Cost
(MC)2MKP,1400,100,19105.234364568572
MarIn,1400,100,84966.5411187908
MarCo,1400,100,233793.37090201463
MarDec,1400,100,193004.04090420267
FedAvg,1400,100,273354.56110076763
(MC)2MKP,1500,100,17032.374256598767
MarIn,1500,100,74344.43514904425
MarCo,1500,100,236340.96960836538
MarDec,1500,100,191332.70524825458
FedAvg,1500,100,238523.3792223594
(MC)2MKP,1600,100,15446.017090738214
MarIn,1600,100,75221.94789849865
MarCo,1600,100,233781.3544336346
MarDec,1600,100,201429.9544546671
FedAvg,1600,100,247626.65651080292
(MC)2MKP,1700,100,13994.451841865413
MarIn,1700,100,80943.12085842855
MarCo,1700,100,239069.9224807321
MarDec,1700,100,199251.10761091448
FedAvg,1700,100,238550.16407961742
(MC)2MKP,1800,100,13039.954281760709
MarIn,1800,100,74231.08386588831
MarCo,1800,100,235498.16619271142
MarDec,1800,100,199406.4740593542
FedAvg,1800,100,252134.48114302199
(MC)2MKP,1900,100,12300.960942647647
MarIn,1900,100,79564.98050413186
MarCo,1900,100,237586.19791063466
MarDec,1900,100,198099.3383687058
FedAvg,1900,100,230963.73545479166
(MC)2MKP,2000,100,11542.15248959942
MarIn,2000,100,74574.35860338793
MarCo,2000,100,238208.27420982323
MarDec,2000,100,201889.8865641855
FedAvg,2000,100,230445.26363230747
(MC)2MKP,2100,100,10889.67298873199
MarIn,2100,100,68188.9615309935
MarCo,2100,100,232651.50773929027
MarDec,2100,100,196203.84314274698
FedAvg,2100,100,255174.63308032145
(MC)2MKP,2200,100,10222.608277184196
MarIn,2200,100,68390.6646677803
MarCo,2200,100,234215.68423747737
MarDec,2200,100,190921.6704675615
FedAvg,2200,100,270515.16775793134
(MC)2MKP,2300,100,9621.673905843338
MarIn,2300,100,65156.11532046926
MarCo,2300,100,237327.32716578542
MarDec,2300,100,197706.93748745963
FedAvg,2300,100,257372.03404892696
(MC)2MKP,2400,100,9189.194918798306
MarIn,2400,100,61690.81629427531
MarCo,2400,100,239644.01273269244
MarDec,2400,100,206161.69042007835
FedAvg,2400,100,222123.80324120948
(MC)2MKP,2500,100,8833.89145896983
MarIn,2500,100,67022.01526817838
MarCo,2500,100,236554.29777192668
MarDec,2500,100,190655.72399440123
FedAvg,2500,100,258291.04656182864
(MC)2MKP,2600,100,8471.076581534247
MarIn,2600,100,69327.49861770544
MarCo,2600,100,238914.90404144605
MarDec,2600,100,200550.26609088562
FedAvg,2600,100,220977.63559998566
(MC)2MKP,2700,100,8228.66685326153
MarIn,2700,100,68433.68445146945
MarCo,2700,100,238726.0068502049
MarDec,2700,100,205888.79230450594
FedAvg,2700,100,267481.01827342
(MC)2MKP,2800,100,7833.589282032641
MarIn,2800,100,68182.35702651386
MarCo,2800,100,234051.36072121595
MarDec,2800,100,197685.40522523434
FedAvg,2800,100,235670.14690452936
(MC)2MKP,2900,100,7577.602083634291
MarIn,2900,100,64711.15375248953
MarCo,2900,100,230826.23148784658
MarDec,2900,100,205058.76430112278
FedAvg,2900,100,236992.22064225614
(MC)2MKP,3000,100,7022.37040825501
MarIn,3000,100,58990.85560249255
MarCo,3000,100,234579.95148445148
MarDec,3000,100,198549.4696166181
FedAvg,3000,100,231364.4316044102
(MC)2MKP,3100,100,6844.942258746
MarIn,3100,100,57630.32382908908
MarCo,3100,100,234721.16924116533
MarDec,3100,100,200507.06511896435
FedAvg,3100,100,267252.8770095608
(MC)2MKP,3200,100,6623.207776722141
MarIn,3200,100,67225.38182040774
MarCo,3200,100,237147.89918222724
MarDec,3200,100,201467.54250613396
FedAvg,3200,100,266774.7991856303
(MC)2MKP,3300,100,6424.38547225099
MarIn,3300,100,64822.02717487238
MarCo,3300,100,235500.57260159779
MarDec,3300,100,181125.09462396227
FedAvg,3300,100,240176.4906331365
(MC)2MKP,3400,100,6295.937573757008
MarIn,3400,100,68223.2649618099
MarCo,3400,100,240208.15246301203
MarDec,3400,100,204804.23444595444
FedAvg,3400,100,254391.13978131875
(MC)2MKP,3500,100,6160.845656138052
MarIn,3500,100,65254.6965834956
MarCo,3500,100,232386.2905764187
MarDec,3500,100,197328.87474049616
FedAvg,3500,100,259212.89695553778
(MC)2MKP,3600,100,6052.30618325987
MarIn,3600,100,65278.06431081815
MarCo,3600,100,236193.52331739315
MarDec,3600,100,204313.60180754217
FedAvg,3600,100,258067.9524885461
(MC)2MKP,3700,100,5665.148632268197
MarIn,3700,100,59256.7950660442
MarCo,3700,100,229848.23004138056
MarDec,3700,100,195250.09860475268
FedAvg,3700,100,251301.471996461
(MC)2MKP,3800,100,5562.11849601308
MarIn,3800,100,67713.62112483213
MarCo,3800,100,233041.9928655029
MarDec,3800,100,188274.06326107396
FedAvg,3800,100,256521.4331282808
(MC)2MKP,3900,100,5137.920182635332
MarIn,3900,100,59322.27054424385
MarCo,3900,100,233072.45610198594
MarDec,3900,100,187531.1049868093
FedAvg,3900,100,223133.12646703533
(MC)2MKP,4000,100,5048.224665435078
