# Description of the experiment:
#
# - We generate the costs to up to 5.000 tasks for 10 and 100 resources.
# - All costs follow linear functions (i.e., constant marginal costs)
#   with RNG seeds [100..199].
# - We schedule from 1.000 to 5.000 tasks in increments of 100.
# - We run (MC)^2MKP, MarIn, MarCo, MarDec, and FedAvg.
# - All resources have a lower limit of 5.
# - The first half of the resources have no upper limit.
# - The second half has an upper limit of 2*(tasks/resources).
# - Every result is verified and logged to a CSV file.
Scheduler,Tasks,Resources,Total Cost
MarIn,1600,100,4298.241425731509
MarCo,1600,100,4298.241425731509
MarDec,1600,100,4298.241425731509
FedAvg,1600,100,8894.667284419718
(MC)2MKP,1700,100,4400.068245358917
MarIn,1700,100,4400.068245358917
MarCo,1700,100,4400.068245358917
MarDec,1700,100,4400.068245358917
FedAvg,1700,100,9414.35100029151
(MC)2MKP,1800,100,4501.895064986326
MarIn,1800,100,4501.895064986326
MarCo,1800,100,4501.895064986326
MarDec,1800,100,4501.895064986326
FedAvg,1800,100,9934.034716163302
(MC)2MKP,1900,100,4603.721884613735
MarIn,1900,100,4603.721884613735
MarCo,1900,100,4603.721884613735
MarDec,1900,100,4603.721884613735
FedAvg,1900,100,10453.718432035093
(MC)2MKP,2000,100,4705.548704241144
MarIn,2000,100,4705.548704241144
MarCo,2000,100,4705.548704241144
MarDec,2000,100,4705.548704241144
FedAvg,2000,100,10973.402147906889
(MC)2MKP,2100,100,4807.375523868553
MarIn,2100,100,4807.375523868553
MarCo,2100,100,4807.375523868553
MarDec,2100,100,4807.375523868553
FedAvg,2100,100,11493.085863778677
(MC)2MKP,2200,100,4909.202343495961
MarIn,2200,100,4909.202343495961
MarCo,2200,100,4909.202343495961
MarDec,2200,100,4909.202343495961
FedAvg,2200,100,12012.769579650469
(MC)2MKP,2300,100,5011.02916312337
MarIn,2300,100,5011.02916312337
MarCo,2300,100,5011.02916312337
MarDec,2300,100,5011.02916312337
FedAvg,2300,100,12532.453295522262
(MC)2MKP,2400,100,5112.855982750778
MarIn,2400,100,5112.855982750778
MarCo,2400,100,5112.855982750778
MarDec,2400,100,5112.855982750778
FedAvg,2400,100,13052.137011394054
(MC)2MKP,2500,100,5214.682802378187
MarIn,2500,100,5214.682802378187
MarCo,2500,100,5214.682802378187
MarDec,2500,100,5214.682802378187
FedAvg,2500,100,13571.820727265846
(MC)2MKP,2600,100,5316.509622005596
MarIn,2600,100,5316.509622005596
MarCo,2600,100,5316.509622005596
